Nome do Produto,Categoria do Produto,Preço do Produto (R$),Filial,Quantidade em Estoque,Data da Venda
Corretivo,Eletrodomésticos,93.99,Filial 2,28,Indisponível
Delineador líquido,Eletrodomésticos,86.71,Filial 7,22,Indisponível
Pó compacto,Alimentos,26.53,Filial 8,78,Indisponível
Delineador líquido,Eletrônicos,17.06,Filial 6,19,Indisponível
Máscara de cílios,Eletrodomésticos,6.66,Filial 8,29,Indisponível
Blush em pó,Roupas,78.67,Filial 10,72,Indisponível
Base líquida,Eletrodomésticos,70.98,Filial 2,47,Indisponível
Sombra de olhos,Roupas,37.08,Filial 2,58,Indisponível
Corretivo,Roupas,93.9,Filial 8,96,Indisponível
Pó compacto,Alimentos,62.94,Filial 7,74,Indisponível
Blush em pó,Alimentos,84.91,Filial 6,23,Indisponível
Batom matte,Roupas,42.41,Filial 7,80,Indisponível
Lápis de sobrancelha,Alimentos,79.25,Filial 10,7,Indisponível
Corretivo,Eletrônicos,37.17,Filial 7,70,Indisponível
Sombra de olhos,Roupas,33.38,Filial 4,97,Indisponível
Lápis de sobrancelha,Eletrônicos,86.56,Filial 5,75,Indisponível
Batom líquido,Eletrodomésticos,80.83,Filial 1,15,Indisponível
Batom líquido,Eletrônicos,45.82,Filial 8,30,Indisponível
Batom matte,Eletrodomésticos,68.11,Filial 7,53,Indisponível
Batom matte,Eletrônicos,46.0,Filial 3,80,Indisponível
Batom matte,Roupas,48.87,Filial 6,37,Indisponível
Máscara de cílios,Roupas,64.28,Filial 8,24,Indisponível
Sombra de olhos,Eletrodomésticos,26.71,Filial 7,1,Indisponível
Batom matte,Eletrônicos,58.17,Filial 3,16,Indisponível
Sombra de olhos,Alimentos,81.93,Filial 10,65,Indisponível
Lápis de sobrancelha,Eletrodomésticos,89.96,Filial 10,54,Indisponível
Máscara de cílios,Alimentos,75.6,Filial 1,20,Indisponível
Corretivo,Eletrônicos,53.98,Filial 1,21,Indisponível
Batom matte,Eletrodomésticos,10.25,Filial 10,1,Indisponível
Corretivo,Eletrodomésticos,31.76,Filial 5,11,Indisponível
Batom líquido,Eletrônicos,33.69,Filial 9,12,Indisponível
Pó compacto,Alimentos,44.9,Filial 2,68,Indisponível
Máscara de cílios,Alimentos,62.27,Filial 2,63,Indisponível
Máscara de cílios,Eletrodomésticos,15.45,Filial 8,38,Indisponível
Pó compacto,Roupas,1.53,Filial 1,62,Indisponível
Batom líquido,Eletrônicos,70.0,Filial 6,1,Indisponível
Pó compacto,Eletrônicos,79.24,Filial 7,60,Indisponível
Máscara de cílios,Roupas,79.14,Filial 1,39,Indisponível
Base líquida,Alimentos,99.19,Filial 8,63,Indisponível
Máscara de cílios,Alimentos,37.06,Filial 5,78,Indisponível
Pó compacto,Eletrônicos,29.8,Filial 8,12,Indisponível
Corretivo,Eletrodomésticos,52.0,Filial 6,80,Indisponível
Base líquida,Eletrodomésticos,89.7,Filial 3,65,Indisponível
Batom líquido,Eletrodomésticos,91.31,Filial 2,57,Indisponível
Pó compacto,Eletrônicos,48.14,Filial 6,77,Indisponível
Batom líquido,Eletrodomésticos,82.31,Filial 7,12,Indisponível
Delineador líquido,Roupas,59.96,Filial 3,30,Indisponível
Lápis de sobrancelha,Eletrônicos,93.08,Filial 9,42,Indisponível
Batom líquido,Roupas,3.91,Filial 8,37,Indisponível
Lápis de sobrancelha,Eletrodomésticos,56.51,Filial 3,39,Indisponível
Delineador líquido,Roupas,11.15,Filial 7,69,Indisponível
Base líquida,Eletrônicos,48.75,Filial 4,86,Indisponível
Delineador líquido,Eletrodomésticos,33.31,Filial 10,14,Indisponível
Corretivo,Eletrônicos,60.97,Filial 2,81,Indisponível
Delineador líquido,Eletrodomésticos,14.53,Filial 8,11,Indisponível
Batom líquido,Alimentos,33.68,Filial 9,99,Indisponível
Máscara de cílios,Alimentos,2.83,Filial 5,85,Indisponível
Batom matte,Roupas,68.23,Filial 2,40,Indisponível
Pó compacto,Alimentos,21.76,Filial 5,46,Indisponível
Base líquida,Eletrodomésticos,47.02,Filial 8,63,Indisponível
Base líquida,Eletrônicos,43.03,Filial 6,28,Indisponível
Base líquida,Roupas,15.3,Filial 2,29,Indisponível
Blush em pó,Alimentos,85.81,Filial 2,26,Indisponível
Máscara de cílios,Eletrodomésticos,62.99,Filial 9,96,Indisponível
Pó compacto,Alimentos,68.27,Filial 4,100,Indisponível
Corretivo,Alimentos,5.31,Filial 7,49,Indisponível
Batom matte,Alimentos,53.41,Filial 5,59,Indisponível
Máscara de cílios,Eletrônicos,34.25,Filial 1,100,Indisponível
Blush em pó,Roupas,9.65,Filial 7,18,Indisponível
Batom matte,Alimentos,15.6,Filial 7,26,Indisponível
Pó compacto,Alimentos,82.53,Filial 5,61,Indisponível
Batom matte,Eletrodomésticos,99.55,Filial 10,84,Indisponível
Base líquida,Roupas,76.81,Filial 3,91,Indisponível
Blush em pó,Roupas,69.43,Filial 6,84,Indisponível
Máscara de cílios,Eletrônicos,58.69,Filial 10,28,Indisponível
Batom matte,Roupas,98.95,Filial 7,72,Indisponível
Batom líquido,Eletrodomésticos,78.87,Filial 2,87,Indisponível
Blush em pó,Eletrodomésticos,37.35,Filial 1,35,Indisponível
Sombra de olhos,Eletrônicos,36.85,Filial 5,87,Indisponível
Batom líquido,Eletrônicos,37.5,Filial 1,93,Indisponível
Corretivo,Eletrônicos,13.62,Filial 1,56,Indisponível
Pó compacto,Eletrônicos,8.02,Filial 8,49,Indisponível
Corretivo,Roupas,83.5,Filial 7,68,Indisponível
Delineador líquido,Alimentos,51.08,Filial 9,97,Indisponível
Delineador líquido,Roupas,96.37,Filial 5,10,Indisponível
Corretivo,Roupas,5.81,Filial 9,55,Indisponível
Batom matte,Alimentos,19.44,Filial 8,81,Indisponível
Corretivo,Alimentos,1.46,Filial 10,3,Indisponível
Pó compacto,Alimentos,9.15,Filial 8,7,Indisponível
Lápis de sobrancelha,Eletrônicos,9.57,Filial 9,41,Indisponível
Blush em pó,Eletrodomésticos,49.26,Filial 1,10,Indisponível
Blush em pó,Eletrodomésticos,28.92,Filial 3,1,Indisponível
Máscara de cílios,Alimentos,94.15,Filial 6,54,Indisponível
Pó compacto,Roupas,48.27,Filial 6,63,Indisponível
Máscara de cílios,Eletrodomésticos,45.64,Filial 7,53,Indisponível
Batom matte,Alimentos,33.77,Filial 7,60,Indisponível
Lápis de sobrancelha,Eletrônicos,83.21,Filial 2,43,Indisponível
Pó compacto,Eletrônicos,22.32,Filial 9,98,Indisponível
Pó compacto,Eletrônicos,5.96,Filial 9,21,Indisponível
Sombra de olhos,Alimentos,92.3,Filial 8,53,Indisponível
Blush em pó,Alimentos,12.34,Filial 7,50,Indisponível
Pó compacto,Roupas,10.27,Filial 6,56,Indisponível
Pó compacto,Alimentos,96.11,Filial 5,6,Indisponível
Lápis de sobrancelha,Eletrodomésticos,64.91,Filial 5,67,Indisponível
Delineador líquido,Roupas,52.4,Filial 4,52,Indisponível
Base líquida,Roupas,90.54,Filial 9,70,Indisponível
Sombra de olhos,Roupas,70.74,Filial 1,53,Indisponível
Corretivo,Alimentos,62.27,Filial 3,10,Indisponível
Corretivo,Alimentos,48.68,Filial 6,83,Indisponível
Blush em pó,Alimentos,23.46,Filial 2,33,Indisponível
Blush em pó,Alimentos,73.78,Filial 5,12,Indisponível
Corretivo,Alimentos,87.16,Filial 10,69,Indisponível
Pó compacto,Eletrônicos,16.85,Filial 9,91,Indisponível
Base líquida,Eletrodomésticos,76.64,Filial 1,68,Indisponível
Lápis de sobrancelha,Eletrônicos,54.9,Filial 7,57,Indisponível
Sombra de olhos,Eletrodomésticos,27.2,Filial 8,34,Indisponível
Máscara de cílios,Alimentos,59.07,Filial 3,30,Indisponível
Sombra de olhos,Eletrônicos,99.95,Filial 10,29,Indisponível
Blush em pó,Eletrônicos,11.0,Filial 4,41,Indisponível
Delineador líquido,Eletrodomésticos,99.5,Filial 10,4,Indisponível
Pó compacto,Roupas,22.48,Filial 7,58,Indisponível
Pó compacto,Alimentos,70.12,Filial 3,54,Indisponível
Lápis de sobrancelha,Eletrônicos,47.73,Filial 3,53,Indisponível
Base líquida,Roupas,76.98,Filial 3,91,Indisponível
Blush em pó,Eletrônicos,47.95,Filial 6,67,Indisponível
Pó compacto,Eletrodomésticos,6.78,Filial 9,45,Indisponível
Corretivo,Eletrodomésticos,22.66,Filial 4,45,Indisponível
Máscara de cílios,Roupas,47.59,Filial 5,18,Indisponível
Pó compacto,Eletrônicos,8.67,Filial 6,23,Indisponível
Batom matte,Roupas,51.75,Filial 10,47,Indisponível
Máscara de cílios,Roupas,55.75,Filial 1,73,Indisponível
Batom matte,Eletrodomésticos,38.21,Filial 5,38,Indisponível
Batom matte,Eletrônicos,90.65,Filial 10,52,Indisponível
Pó compacto,Eletrodomésticos,6.94,Filial 4,61,Indisponível
Base líquida,Alimentos,57.36,Filial 9,92,Indisponível
Máscara de cílios,Eletrônicos,4.27,Filial 2,86,Indisponível
Blush em pó,Roupas,67.2,Filial 4,23,Indisponível
Máscara de cílios,Alimentos,98.1,Filial 3,85,Indisponível
Blush em pó,Eletrodomésticos,84.94,Filial 4,50,Indisponível
Batom líquido,Alimentos,58.91,Filial 6,63,Indisponível
Pó compacto,Eletrônicos,96.86,Filial 5,61,Indisponível
Delineador líquido,Eletrônicos,85.35,Filial 4,70,Indisponível
Máscara de cílios,Eletrodomésticos,80.35,Filial 10,55,Indisponível
Blush em pó,Alimentos,2.15,Filial 6,45,Indisponível
Delineador líquido,Roupas,64.49,Filial 8,88,Indisponível
Sombra de olhos,Alimentos,70.7,Filial 3,36,Indisponível
Lápis de sobrancelha,Eletrodomésticos,44.67,Filial 3,15,Indisponível
Base líquida,Eletrodomésticos,30.42,Filial 9,47,Indisponível
Corretivo,Alimentos,31.79,Filial 6,87,Indisponível
Batom matte,Eletrodomésticos,37.82,Filial 9,4,Indisponível
Blush em pó,Eletrodomésticos,88.26,Filial 5,40,Indisponível
Blush em pó,Eletrônicos,26.6,Filial 2,9,Indisponível
Sombra de olhos,Roupas,74.21,Filial 8,44,Indisponível
Base líquida,Alimentos,45.22,Filial 10,31,Indisponível
Base líquida,Alimentos,28.09,Filial 8,96,Indisponível
Batom matte,Eletrônicos,62.53,Filial 6,45,Indisponível
Sombra de olhos,Alimentos,28.69,Filial 8,81,Indisponível
Sombra de olhos,Roupas,67.67,Filial 5,6,Indisponível
Delineador líquido,Eletrônicos,86.63,Filial 10,8,Indisponível
Máscara de cílios,Alimentos,75.24,Filial 9,12,Indisponível
Delineador líquido,Roupas,9.53,Filial 7,37,Indisponível
Sombra de olhos,Roupas,58.7,Filial 6,38,Indisponível
Corretivo,Alimentos,41.91,Filial 7,21,Indisponível
Lápis de sobrancelha,Roupas,34.24,Filial 4,13,Indisponível
Batom matte,Eletrônicos,15.69,Filial 1,80,Indisponível
Batom matte,Alimentos,68.83,Filial 9,71,Indisponível
Pó compacto,Alimentos,67.0,Filial 9,8,Indisponível
Sombra de olhos,Eletrônicos,29.15,Filial 9,2,Indisponível
Lápis de sobrancelha,Eletrodomésticos,98.94,Filial 10,48,Indisponível
Corretivo,Eletrônicos,50.1,Filial 10,54,Indisponível
Batom líquido,Roupas,63.19,Filial 10,28,Indisponível
Batom matte,Eletrodomésticos,25.2,Filial 4,14,Indisponível
Blush em pó,Alimentos,45.62,Filial 9,81,Indisponível
Base líquida,Alimentos,73.27,Filial 2,69,Indisponível
Base líquida,Roupas,77.17,Filial 9,84,Indisponível
Blush em pó,Eletrodomésticos,55.1,Filial 1,53,Indisponível
Batom líquido,Alimentos,72.3,Filial 3,49,Indisponível
Base líquida,Eletrodomésticos,78.7,Filial 7,12,Indisponível
Corretivo,Roupas,47.23,Filial 4,19,Indisponível
Lápis de sobrancelha,Alimentos,84.6,Filial 5,8,Indisponível
Blush em pó,Eletrodomésticos,15.92,Filial 10,77,Indisponível
Delineador líquido,Eletrodomésticos,40.97,Filial 4,6,Indisponível
Pó compacto,Eletrônicos,17.85,Filial 2,52,Indisponível
Batom líquido,Eletrônicos,88.73,Filial 8,52,Indisponível
Blush em pó,Eletrodomésticos,42.18,Filial 3,30,Indisponível
Blush em pó,Eletrodomésticos,90.03,Filial 8,29,Indisponível
Blush em pó,Eletrônicos,62.38,Filial 1,32,Indisponível
Máscara de cílios,Alimentos,2.3,Filial 4,80,Indisponível
Máscara de cílios,Eletrônicos,61.67,Filial 4,16,Indisponível
Blush em pó,Eletrodomésticos,12.87,Filial 1,99,Indisponível
Corretivo,Eletrônicos,95.35,Filial 9,13,Indisponível
Máscara de cílios,Eletrônicos,66.98,Filial 5,74,Indisponível
Corretivo,Roupas,17.05,Filial 5,15,Indisponível
Delineador líquido,Alimentos,2.35,Filial 10,72,Indisponível
Batom líquido,Alimentos,53.51,Filial 3,95,Indisponível
Corretivo,Alimentos,55.6,Filial 9,88,Indisponível
Pó compacto,Eletrônicos,45.67,Filial 10,23,Indisponível
Batom matte,Eletrônicos,6.39,Filial 9,25,Indisponível
Lápis de sobrancelha,Alimentos,97.64,Filial 5,26,Indisponível
Sombra de olhos,Roupas,89.79,Filial 4,99,Indisponível
Corretivo,Eletrodomésticos,33.89,Filial 2,75,Indisponível
Sombra de olhos,Eletrodomésticos,24.9,Filial 9,25,Indisponível
Batom líquido,Eletrodomésticos,96.44,Filial 10,19,Indisponível
Delineador líquido,Eletrônicos,56.63,Filial 10,82,Indisponível
Batom líquido,Eletrodomésticos,91.76,Filial 7,32,Indisponível
Pó compacto,Eletrônicos,31.41,Filial 5,43,Indisponível
Delineador líquido,Roupas,41.49,Filial 1,82,Indisponível
Máscara de cílios,Alimentos,35.63,Filial 5,23,Indisponível
Base líquida,Roupas,13.17,Filial 10,79,Indisponível
Batom matte,Eletrônicos,35.1,Filial 10,81,Indisponível
Delineador líquido,Eletrônicos,26.65,Filial 4,67,Indisponível
Pó compacto,Roupas,44.3,Filial 9,20,Indisponível
Sombra de olhos,Alimentos,86.83,Filial 5,30,Indisponível
Lápis de sobrancelha,Eletrônicos,21.81,Filial 9,83,Indisponível
Máscara de cílios,Eletrodomésticos,58.22,Filial 2,85,Indisponível
Batom matte,Eletrônicos,47.59,Filial 1,79,Indisponível
Blush em pó,Roupas,36.36,Filial 8,75,Indisponível
Batom matte,Roupas,23.1,Filial 2,97,Indisponível
Máscara de cílios,Eletrônicos,42.57,Filial 9,33,Indisponível
Batom matte,Roupas,87.49,Filial 10,97,Indisponível
Batom líquido,Eletrodomésticos,57.73,Filial 8,89,Indisponível
Sombra de olhos,Alimentos,90.69,Filial 4,28,Indisponível
Corretivo,Eletrodomésticos,42.19,Filial 1,42,Indisponível
Delineador líquido,Eletrodomésticos,57.16,Filial 8,57,Indisponível
Delineador líquido,Eletrônicos,60.34,Filial 8,49,Indisponível
Lápis de sobrancelha,Eletrodomésticos,52.33,Filial 7,7,Indisponível
Máscara de cílios,Alimentos,75.09,Filial 3,31,Indisponível
Máscara de cílios,Roupas,16.82,Filial 3,41,Indisponível
Batom líquido,Roupas,55.89,Filial 2,6,Indisponível
Delineador líquido,Roupas,48.4,Filial 1,67,Indisponível
Batom líquido,Alimentos,79.22,Filial 8,14,Indisponível
Corretivo,Eletrodomésticos,71.86,Filial 4,67,Indisponível
Base líquida,Alimentos,42.08,Filial 7,84,Indisponível
Delineador líquido,Roupas,2.88,Filial 7,74,Indisponível
Batom matte,Eletrônicos,46.45,Filial 9,71,Indisponível
Batom matte,Alimentos,99.73,Filial 10,27,Indisponível
Base líquida,Eletrônicos,90.56,Filial 6,12,Indisponível
Batom líquido,Alimentos,77.96,Filial 9,46,Indisponível
Sombra de olhos,Roupas,89.09,Filial 6,37,Indisponível
Lápis de sobrancelha,Eletrônicos,50.84,Filial 8,21,Indisponível
Corretivo,Eletrônicos,80.3,Filial 2,80,Indisponível
Pó compacto,Roupas,84.23,Filial 4,43,Indisponível
Batom líquido,Eletrônicos,44.06,Filial 2,6,Indisponível
Delineador líquido,Eletrodomésticos,18.79,Filial 6,80,Indisponível
Base líquida,Eletrodomésticos,36.78,Filial 9,47,Indisponível
Máscara de cílios,Eletrônicos,97.3,Filial 1,16,Indisponível
Batom matte,Alimentos,36.58,Filial 4,97,Indisponível
Base líquida,Eletrônicos,42.94,Filial 3,10,Indisponível
Base líquida,Eletrodomésticos,69.63,Filial 5,18,Indisponível
Corretivo,Alimentos,93.65,Filial 5,39,Indisponível
Corretivo,Roupas,24.51,Filial 2,69,Indisponível
Batom líquido,Eletrônicos,10.69,Filial 2,48,Indisponível
Base líquida,Roupas,28.14,Filial 9,58,Indisponível
Base líquida,Eletrônicos,95.79,Filial 6,81,Indisponível
Pó compacto,Alimentos,63.76,Filial 8,59,Indisponível
Lápis de sobrancelha,Eletrônicos,27.3,Filial 6,50,Indisponível
Pó compacto,Eletrodomésticos,63.01,Filial 6,93,Indisponível
Delineador líquido,Alimentos,92.11,Filial 4,93,Indisponível
Blush em pó,Eletrodomésticos,10.97,Filial 4,68,Indisponível
Delineador líquido,Eletrodomésticos,94.17,Filial 7,72,Indisponível
Lápis de sobrancelha,Alimentos,12.88,Filial 7,17,Indisponível
Batom matte,Roupas,15.27,Filial 9,30,Indisponível
Máscara de cílios,Alimentos,71.67,Filial 3,76,Indisponível
Pó compacto,Eletrodomésticos,30.27,Filial 2,100,Indisponível
Blush em pó,Eletrodomésticos,57.3,Filial 1,77,Indisponível
Corretivo,Eletrodomésticos,76.73,Filial 5,46,Indisponível
Sombra de olhos,Eletrodomésticos,66.39,Filial 9,24,Indisponível
Batom líquido,Eletrônicos,16.84,Filial 7,61,Indisponível
Lápis de sobrancelha,Eletrodomésticos,15.01,Filial 5,69,Indisponível
Blush em pó,Eletrônicos,47.44,Filial 2,4,Indisponível
Sombra de olhos,Alimentos,71.13,Filial 2,62,Indisponível
Batom líquido,Alimentos,92.12,Filial 10,22,Indisponível
Base líquida,Eletrônicos,67.92,Filial 9,52,Indisponível
Lápis de sobrancelha,Eletrodomésticos,52.46,Filial 9,3,Indisponível
Batom líquido,Eletrônicos,2.72,Filial 5,16,Indisponível
Batom matte,Alimentos,84.72,Filial 8,7,Indisponível
Delineador líquido,Eletrônicos,72.44,Filial 9,78,Indisponível
Máscara de cílios,Alimentos,73.86,Filial 8,98,Indisponível
Batom líquido,Eletrônicos,78.87,Filial 6,44,Indisponível
Corretivo,Eletrodomésticos,48.12,Filial 9,67,Indisponível
Base líquida,Eletrônicos,88.12,Filial 4,33,Indisponível
Lápis de sobrancelha,Alimentos,59.25,Filial 1,71,Indisponível
Blush em pó,Eletrônicos,41.66,Filial 6,82,Indisponível
Pó compacto,Alimentos,51.03,Filial 6,34,Indisponível
Batom matte,Eletrônicos,79.72,Filial 2,43,Indisponível
Batom líquido,Eletrônicos,6.33,Filial 2,10,Indisponível
Batom líquido,Eletrônicos,15.24,Filial 6,15,Indisponível
Lápis de sobrancelha,Roupas,80.72,Filial 2,87,Indisponível
Lápis de sobrancelha,Eletrônicos,24.08,Filial 8,66,Indisponível
Corretivo,Alimentos,88.86,Filial 6,22,Indisponível
Batom líquido,Eletrônicos,64.8,Filial 8,99,Indisponível
Delineador líquido,Eletrodomésticos,32.16,Filial 3,19,Indisponível
Batom matte,Eletrodomésticos,55.41,Filial 9,71,Indisponível
Corretivo,Alimentos,84.68,Filial 8,82,Indisponível
Pó compacto,Roupas,97.79,Filial 10,42,Indisponível
Sombra de olhos,Eletrônicos,61.39,Filial 5,84,Indisponível
Blush em pó,Alimentos,62.34,Filial 2,21,Indisponível
Pó compacto,Alimentos,75.12,Filial 1,9,Indisponível
Batom matte,Roupas,30.13,Filial 2,100,Indisponível
Corretivo,Roupas,55.63,Filial 4,78,Indisponível
Batom matte,Alimentos,9.33,Filial 5,21,Indisponível
Pó compacto,Roupas,29.52,Filial 3,20,Indisponível
Base líquida,Eletrônicos,97.93,Filial 4,24,Indisponível
Máscara de cílios,Eletrônicos,43.54,Filial 6,90,Indisponível
Blush em pó,Roupas,46.93,Filial 10,11,Indisponível
Sombra de olhos,Eletrônicos,50.43,Filial 5,27,Indisponível
Máscara de cílios,Eletrônicos,17.43,Filial 8,19,Indisponível
Corretivo,Alimentos,87.22,Filial 1,48,Indisponível
Máscara de cílios,Alimentos,61.59,Filial 5,27,Indisponível
Batom matte,Alimentos,34.47,Filial 7,66,Indisponível
Lápis de sobrancelha,Eletrodomésticos,99.23,Filial 5,27,Indisponível
Blush em pó,Roupas,77.15,Filial 2,9,Indisponível
Lápis de sobrancelha,Eletrodomésticos,87.7,Filial 8,13,Indisponível
Batom matte,Roupas,15.19,Filial 5,74,Indisponível
Delineador líquido,Eletrodomésticos,45.75,Filial 9,4,Indisponível
Sombra de olhos,Roupas,80.72,Filial 3,67,Indisponível
Corretivo,Roupas,79.29,Filial 10,47,Indisponível
Lápis de sobrancelha,Eletrodomésticos,1.98,Filial 8,39,Indisponível
Lápis de sobrancelha,Alimentos,52.41,Filial 10,26,Indisponível
Sombra de olhos,Roupas,26.55,Filial 8,21,Indisponível
Blush em pó,Roupas,38.85,Filial 7,54,Indisponível
Lápis de sobrancelha,Alimentos,68.89,Filial 8,38,Indisponível
Delineador líquido,Eletrônicos,74.26,Filial 3,38,Indisponível
Delineador líquido,Eletrônicos,73.46,Filial 2,29,Indisponível
Máscara de cílios,Roupas,62.43,Filial 8,62,Indisponível
Base líquida,Eletrônicos,6.54,Filial 10,44,Indisponível
Pó compacto,Alimentos,21.71,Filial 10,68,Indisponível
Lápis de sobrancelha,Roupas,24.66,Filial 7,51,Indisponível
Batom líquido,Alimentos,80.63,Filial 8,27,Indisponível
Base líquida,Roupas,3.21,Filial 3,12,Indisponível
Base líquida,Roupas,74.98,Filial 1,17,Indisponível
Delineador líquido,Eletrodomésticos,45.42,Filial 2,47,Indisponível
Sombra de olhos,Alimentos,91.06,Filial 2,10,Indisponível
Sombra de olhos,Alimentos,80.21,Filial 6,24,Indisponível
Batom matte,Eletrônicos,62.63,Filial 5,35,Indisponível
Blush em pó,Eletrodomésticos,93.65,Filial 1,11,Indisponível
Máscara de cílios,Eletrodomésticos,53.03,Filial 6,16,Indisponível
Pó compacto,Roupas,62.4,Filial 9,17,Indisponível
Máscara de cílios,Roupas,19.14,Filial 10,31,Indisponível
Sombra de olhos,Eletrodomésticos,5.93,Filial 5,14,Indisponível
Pó compacto,Eletrodomésticos,61.77,Filial 6,71,Indisponível
Batom líquido,Eletrônicos,22.64,Filial 5,39,Indisponível
Pó compacto,Alimentos,9.68,Filial 5,79,Indisponível
Corretivo,Eletrodomésticos,78.39,Filial 9,38,Indisponível
Delineador líquido,Alimentos,85.19,Filial 8,74,Indisponível
Delineador líquido,Alimentos,2.7,Filial 7,19,Indisponível
Batom líquido,Eletrônicos,11.86,Filial 7,29,Indisponível
Batom matte,Roupas,99.03,Filial 6,21,Indisponível
